""	"nsc_exp_name"	"nsc"	"experiment"	"used_in_zscore"
"762_8910NS65"	"762_8910NS65"	"762"	"8910NS65"	TRUE
"762_8910SA25"	"762_8910SA25"	"762"	"8910SA25"	TRUE
"762_8911AG62"	"762_8911AG62"	"762"	"8911AG62"	TRUE
"762_8911MD36"	"762_8911MD36"	"762"	"8911MD36"	TRUE
"762_8911NS78"	"762_8911NS78"	"762"	"8911NS78"	TRUE
"762_8911SA38"	"762_8911SA38"	"762"	"8911SA38"	TRUE
"762_8912AG67"	"762_8912AG67"	"762"	"8912AG67"	TRUE
"762_8912MD42"	"762_8912MD42"	"762"	"8912MD42"	TRUE
"762_8912NS84"	"762_8912NS84"	"762"	"8912NS84"	TRUE
"762_8912SA43"	"762_8912SA43"	"762"	"8912SA43"	TRUE
"762_9001AG72"	"762_9001AG72"	"762"	"9001AG72"	TRUE
"762_9001MD49"	"762_9001MD49"	"762"	"9001MD49"	TRUE
"762_9001SA49"	"762_9001SA49"	"762"	"9001SA49"	TRUE
"762_9002AG80"	"762_9002AG80"	"762"	"9002AG80"	TRUE
"762_9002MD57"	"762_9002MD57"	"762"	"9002MD57"	TRUE
"762_9002NS99"	"762_9002NS99"	"762"	"9002NS99"	TRUE
"762_9002SA56"	"762_9002SA56"	"762"	"9002SA56"	TRUE
"762_9003AG87"	"762_9003AG87"	"762"	"9003AG87"	TRUE
"762_9003MD64"	"762_9003MD64"	"762"	"9003MD64"	TRUE
"762_9003NS08"	"762_9003NS08"	"762"	"9003NS08"	TRUE
"762_9003SA61"	"762_9003SA61"	"762"	"9003SA61"	TRUE
"762_9004AG96"	"762_9004AG96"	"762"	"9004AG96"	TRUE
"762_9004NS17"	"762_9004NS17"	"762"	"9004NS17"	TRUE
"762_9004SA67"	"762_9004SA67"	"762"	"9004SA67"	TRUE
"762_9004SA75"	"762_9004SA75"	"762"	"9004SA75"	TRUE
"762_9005MD78"	"762_9005MD78"	"762"	"9005MD78"	TRUE
"762_9005NS24"	"762_9005NS24"	"762"	"9005NS24"	TRUE
"762_9006AG09"	"762_9006AG09"	"762"	"9006AG09"	TRUE
"762_9006NS29"	"762_9006NS29"	"762"	"9006NS29"	TRUE
"762_9006SA79"	"762_9006SA79"	"762"	"9006SA79"	TRUE
"762_9402AG14"	"762_9402AG14"	"762"	"9402AG14"	TRUE
"762_9402SA36"	"762_9402SA36"	"762"	"9402SA36"	TRUE
"762_9402SM23"	"762_9402SM23"	"762"	"9402SM23"	TRUE
"762_9402SS91"	"762_9402SS91"	"762"	"9402SS91"	TRUE
"762_9603MD16"	"762_9603MD16"	"762"	"9603MD16"	TRUE
"762_9603NS01"	"762_9603NS01"	"762"	"9603NS01"	TRUE
"762_9706MD48"	"762_9706MD48"	"762"	"9706MD48"	TRUE
"762_9706NS64"	"762_9706NS64"	"762"	"9706NS64"	TRUE
"798_9704MD30"	"798_9704MD30"	"798"	"9704MD30"	TRUE
"830_9102NS15"	"830_9102NS15"	"830"	"9102NS15"	TRUE
"885_0907RS71"	"885_0907RS71"	"885"	"0907RS71"	TRUE
"885_1005RS27"	"885_1005RS27"	"885"	"1005RS27"	TRUE
"1010_1006NS62"	"1010_1006NS62"	"1010"	"1006NS62"	TRUE
"1011_9903NS28"	"1011_9903NS28"	"1011"	"9903NS28"	TRUE
"1011_9905RS44"	"1011_9905RS44"	"1011"	"9905RS44"	TRUE
